"","term","estimate","std.error","statistic","p.value"
"80","MetroOpen:as.factor(city_num)14",-0.30330669627432,0.0184032801332801,-16.4811215216915,6.23932753345886e-61
"81","MetroOpen:as.factor(city_num)15",-0.299014776736589,0.0184032801332788,-16.2479065998609,2.8412535428465e-59
"82","MetroOpen:as.factor(city_num)16",-0.31077057451796,0.0184032801332785,-16.8866947776335,7.17175174562784e-64
"83","MetroOpen:as.factor(city_num)17",-0.310770574517552,0.0184032801332806,-16.8866947776093,7.17175174855185e-64
"84","MetroOpen:as.factor(city_num)18",-0.32033226187432,0.018403280133279,-17.406259077427,9.70426326958965e-68
"85","MetroOpen:as.factor(city_num)19",-0.298180390197416,0.0184032801332814,-16.2025675878384,5.93205729744908e-59
"86","MetroOpen:as.factor(city_num)20",-0.298180390197887,0.0184032801332788,-16.2025675878663,5.93205729476149e-59
"87","MetroOpen:as.factor(city_num)21",-0.291735678716046,0.018403280133281,-15.8523739574264,1.63233020717007e-56
"88","MetroOpen:as.factor(city_num)22",-0.2917356787164,0.0184032801332791,-15.8523739574472,1.63233020663128e-56
"89","MetroOpen:as.factor(city_num)23",-0.310770574517749,0.0184032801332797,-16.886694777621,7.17175174714311e-64
"90","MetroOpen:as.factor(city_num)24",-0.244770001531129,0.0184032801332779,-13.3003464468556,2.52881744783189e-40
"91","MetroOpen:as.factor(city_num)25",-0.231490824473595,0.0184032801332801,-12.578780673722,2.9765848741231e-36
"92","MetroOpen:as.factor(city_num)26",-0.22461483842962,0.0184032801332811,-12.2051523860368,3.11723885719971e-34
